Date,AAPL,AMD,BAC,CVX,JPM,KO,MSFT,NVDA,PEP,XOM
2024-05-30,189.82191467285156,166.75,37.07797622680664,146.6297607421875,192.07347106933594,58.87734603881836,409.13824462890625,110.44364166259766,160.05470275878906,107.47103881835938
2024-05-31,190.77455139160156,166.89999389648438,38.383338928222656,150.37289428710938,195.2533416748047,59.78943634033203,409.59210205078125,109.57709503173828,162.3267364501953,110.55403137207031
2024-06-03,192.5408935546875,163.5500030517578,38.27775573730469,145.88856506347656,194.47283935546875,59.78943634033203,408.0035705566406,114.94136047363281,160.75885009765625,107.90473937988281
2024-06-04,192.85845947265625,159.99000549316406,38.085792541503906,144.6563262939453,191.90965270996094,60.749027252197266,410.51953125,116.37762451171875,163.2561798095703,106.22651672363281
2024-06-05,194.36676025390625,166.1699981689453,38.35454177856445,143.5908203125,190.07884216308594,60.73003005981445,418.3536071777344,122.3775634765625,162.8806610107422,106.65079498291016
2024-06-06,192.98741149902344,166.77999877929688,38.10498809814453,144.47100830078125,189.74159240722656,60.94854736328125,418.8568115234375,120.9363021850586,162.60836791992188,107.45217895507812
2024-06-07,195.3789520263672,167.8699951171875,38.41399383544922,144.6099853515625,192.6708984375,60.720523834228516,418.1957702636719,120.82635498046875,161.84661865234375,106.30195617675781
2024-06-10,191.63784790039062,160.33999633789062,38.30777359008789,145.2214813232422,192.34327697753906,60.4164924621582,422.1621398925781,121.72789764404297,156.98292541503906,106.61308288574219
2024-06-11,205.56019592285156,158.9600067138672,37.525596618652344,144.98988342285156,187.28440856933594,60.37848663330078,426.90789794921875,120.8582763671875,156.19754028320312,105.755126953125
2024-06-12,211.4347686767578,160.24000549316406,38.05670166015625,142.88668823242188,184.55743408203125,59.74192810058594,435.1761779785156,125.14643096923828,155.02418518066406,104.5860366821289
2024-06-13,212.59579467773438,159.89999389648438,37.9118537902832,141.6081085205078,186.60987854003906,59.846439361572266,435.689208984375,129.55455017089844,154.55105590820312,103.74693298339844
2024-06-14,210.85922241210938,159.6300048828125,37.892539978027344,141.35794067382812,186.72552490234375,59.88951873779297,436.666015625,131.82359313964844,155.0052490234375,102.87012481689453
2024-06-17,215.0071258544922,158.39999389648438,38.15326690673828,141.93238830566406,187.8818359375,59.95654296875,442.388671875,130.92396545410156,157.21002197265625,102.16302490234375
2024-06-18,212.6453857421875,154.6300048828125,38.616790771484375,142.06210327148438,189.82830810546875,59.966121673583984,440.38568115234375,135.52198791503906,157.53173828125,103.12467956542969
2024-06-20,208.07077026367188,161.77999877929688,38.616790771484375,145.12884521484375,191.4375,59.53525924682617,439.7542419433594,130.72406005859375,157.7209930419922,105.3497085571289
2024-06-21,205.89759826660156,161.22999572753906,38.13395690917969,143.86878967285156,189.15379333496094,60.10016632080078,443.77984619140625,126.51585388183594,158.28875732421875,104.4257583618164
2024-06-24,206.54258728027344,160.25,38.645755767822266,147.60260009765625,191.63987731933594,61.24912643432617,441.697998046875,118.05946350097656,159.04576110839844,107.52761840820312
2024-06-25,207.46546936035156,160.25,38.027732849121094,146.8151092529297,190.85935974121094,61.12465286254883,444.9342041015625,126.03604888916016,158.35499572753906,107.82931518554688
2024-06-26,211.61338806152344,157.5399932861328,37.6607780456543,144.4895477294922,190.24264526367188,61.325721740722656,446.12811279296875,126.34593200683594,157.77777099609375,107.86701965332031
2024-06-27,212.4568634033203,159.47000122070312,37.90219497680664,144.8323516845703,191.91929626464844,61.19167709350586,446.80889892578125,123.93695831298828,157.3235626220703,108.32901000976562
2024-06-28,209.00355529785156,162.2100067138672,38.40434646606445,144.92498779296875,194.89682006835938,60.94273376464844,440.98760986328125,123.48714447021484,156.06503295898438,108.53642272949219
2024-07-01,215.0865020751953,157.69000244140625,38.6360969543457,145.0176544189453,197.97067260742188,60.588470458984375,450.63714599609375,124.246826171875,154.13470458984375,108.38555908203125
2024-07-02,218.5795135498047,164.30999755859375,39.52450942993164,145.23074340820312,201.22763061523438,60.4640007019043,453.1531066894531,122.61751556396484,154.78762817382812,107.65018463134766
2024-07-03,219.8496856689453,163.89999389648438,39.495540618896484,145.19369506835938,201.09274291992188,60.63634490966797,454.6231994628906,128.22511291503906,153.8603057861328,108.1969985961914
2024-07-05,224.60292053222656,171.89999389648438,39.02236557006836,142.9700469970703,198.4281463623047,61.04805374145508,461.3226623535156,125.77616882324219,155.55409240722656,106.8864974975586
2024-07-08,226.07154846191406,178.69000244140625,39.22515106201172,142.9886016845703,198.79635620117188,60.282081604003906,460.020263671875,128.1451416015625,153.4060821533203,105.76456451416016
2024-07-09,226.92495727539062,177.10000610351562,39.9976806640625,141.73779296875,201.17994689941406,60.023563385009766,453.4096374511719,131.3238067626953,153.19790649414062,104.59547424316406
2024-07-10,231.1919708251953,183.9600067138672,40.30670166015625,143.7298126220703,201.3446502685547,60.15761184692383,460.03009033203125,134.85227966308594,154.7970733642578,105.5194320678711
2024-07-11,225.823486328125,181.94000244140625,40.374290466308594,143.85025024414062,201.00552368164062,60.41613006591797,448.6341857910156,127.34550476074219,155.13772583007812,106.77336120605469
2024-07-12,228.7706756591797,181.61000061035156,40.161842346191406,144.15599060058594,198.57350158691406,60.99060821533203,447.49951171875,129.18470764160156,157.43711853027344,106.7922134399414
2024-07-15,232.60107421875,179.8300018310547,40.451541900634766,146.4259490966797,203.5247802734375,60.71294403076172,447.904052734375,128.3850555419922,155.05258178710938,108.62127685546875
2024-07-16,233.01783752441406,177.5500030517578,42.6146240234375,146.17579650878906,206.98385620117188,61.53636169433594,443.5232849121094,126.3059310913086,155.90419006347656,109.40380096435547
2024-07-17,227.12342834472656,159.42999267578125,42.46977233886719,149.3815155029297,210.13290405273438,62.43638610839844,437.6033020019531,117.93951416015625,160.75845336914062,110.91228485107422
2024-07-18,222.45948791503906,155.77000427246094,41.533084869384766,150.06715393066406,203.45689392089844,62.417232513427734,434.495361328125,121.03820037841797,161.21266174316406,112.00596618652344
2024-07-19,222.5885009765625,151.5800018310547,41.42686462402344,147.45437622070312,203.2631378173828,62.51298522949219,431.2788391113281,117.87954711914062,160.25692749023438,109.43208312988281
2024-07-22,222.24119567871094,155.8699951171875,40.84746170043945,145.45310974121094,203.7476043701172,62.01509094238281,437.03106689453125,123.48714447021484,158.64833068847656,108.67782592773438
2024-07-23,223.28311157226562,154.0,40.95368576049805,142.76622009277344,203.79608154296875,62.1970100402832,438.9156188964844,122.53755187988281,157.34249877929688,106.9242172241211
2024-07-24,216.86277770996094,144.6300048828125,40.741241455078125,143.67422485351562,202.11009216308594,63.010860443115234,423.1783447265625,114.20111846923828,159.13088989257812,108.43270111083984
2024-07-25,215.8208465576172,138.32000732421875,40.248756408691406,145.9626922607422,202.1876220703125,63.259803771972656,412.8184814453125,112.2319564819336,161.82772827148438,110.71431732177734
